# ----------------------------------------
# All Web Site Data
# Drupal-Side Statistics with Chuck
# 20200101-20200131
# ----------------------------------------

Drupal-Side Stats (Content Group),Pageviews
west-hempstead-local-history,49
working-erie-canal,49
buffalo-address-book-and-family-directory,48
clarkson-university-harriet-call-burnap-memorial-library,48
columbia-greene-community-college-library-media-services,48
freeport-high-school-yearbooks-and-commencement-programs,48
potsdam-normal-magazine,48
suny-upstate-medical-university-health-sciences-library,48
albert-r-stone-negative-collection,47
cny-chapter-national-railway-historical-society,47
levittown-history-collection,47
new-york-ordnance-works-collection,47
old-houses-north-country,47
public-square-collection,47
hicksville-public-library,46
images-rockland-county,46
railroad-photograph-collection,46
clifton-park-halfmoon-public-library,45
cure-cottages-saranac-lake-ny,45
historic-photographs-new-rochelle,45
jamestown-and-olean-ny-city-directories-1875-1916,45
northport-east-northport-postcard-collection,45
east-meadow-collection,44
field_alpha_sort/S,44
historic-postcards-new-rochelle,44
mark-twain-collection,44
masten-park-high-school-chronicle-yearbooks,44
nyack-library,44
state-university-new-york-plattsburgh-feinberg-library,44
highland-hospital-1940-1949-school-nursing-during-world-war-ii,43
oswego-historical-society,43
palisades-interstate-park-commission,43
roswell-p-flower-memorial-library,43
south-mountains-collection,43
fayetteville-manlius-yearbooks,42
geneva-ny-city-directories,42
guilderland-public-library,42
maria-college,42
19th-century-monographs-history-western-new-york,41
buffalo-postcards,41
civil-war-carte-de-visite-collection,41
early-history-potsdam,41
half-hollow-hills-historic-melville,41
historical-society-rockland-county,41
honeoye-falls-lima-yearbook-collection,41
whaling-museum-and-education-center,41
camp-mills-photographs,40
western-new-york-county-atlases,40
putnam-county-historians-office-digital-collection,39
crystal-beach,38
new-national-era,38
village-manlius-collection,38
field_alpha_sort/N,37
huntington-town-clerks-archives,37
175th-anniversary-buffalo-erie-county-public-library,36
cornwall-images-and-documents,36
hudson-river-valley-institute,36
nehasane-park-photograph-collection,36
union-college,36
field_alpha_sort/B,35
mastics-moriches-shirley-community-library,35
morristown-central-school-yearbooks,35
red-hook-town-board-minutes,35
republic-aviation,35
residential-albany-new-york,35
st-patricks-high-school,35
steele-memorial-library,35
st-marys-academy-yearbooks-collection,34
canal-society-new-york-state,33
darwin-d-martin-photograph-collection,33
normal-leader,33
state-university-new-york-oswego-penfield-library,33
15th-new-york-national-guard-enlistment-records,32
adirondack-history-center-museum-essex-county-historical-society,32
brentwood-public-library,32
buffalo-photograph-collection-lantern-slides-circa-1890-1910,32
elting-memorial-library-haviland-heidgerd-historical-collection,32
fenimore-art-museum,32
field_alpha_sort/H,32
greene-county-libraries-association,32
saratoga-springs-public-library,32
adirondack-experience,31
brockway-motor-trucks-collection,31
colton-pierrepont-central-school-yearbooks-collection,31
hicksville-historic-photographs,31
network-religious-communities,31
paul-smiths-college-st-regian-yearbooks-collection,31
tuxedo-park-historic-photographs,31
westbury-local-history,31
civil-war-letters,30
field_alpha_sort/P,30
hudson-river-maritime-museum,30
je-me-souviensi-remember-presenting-and-preserving-heritage-upstate-new-yorks-franco,30
kent-historical-society-digital-collection,30
nccc-yearbooks,30
pan-american-exposition-scrapbooks,30
barge-canal-construction-middle-division,29
buffalo-broadcasters-association,29
farmingdale-state-college-thomas-d-greenley-library,29
hospital-good-shepherd,29
paul-smiths-college-joan-weill-adirondack-library,29
university-rochester-memorial-art-gallery,29
27th-division-world-war-two,28
christopher-collection,28
city-hudson-postcards-collection,28
cortland-county-historical-society,28
liverpool-public-library,28
nioga-library-system-niagara-falls-public-library,28
ticonderoga-pulp-and-paper-company-photograph-collection,28
20th-century-remains-genesee-valley-canal,27
chautauqua-county-historical-society,27
ellenville-public-library-museum,27
george-nathan-newman-collection-photographs-vanished-and-vanishing-buffalo,27
west-hempstead-public-library,27
agricola-and-paysonian-yearbooks,26
bob-knight-postcard-collection,26
geneva-james-g-vail-collection,26
huntington-memorial-library,26
images-kingston-new-york,26
ithaca-college-library,26
liverpool-yearbook-collection,26
ny-ontario-western-railway-photographs,26
raquette-river-dams-oral-history-project,26
somers-local-history-collection,26
suny-schenectady-county-community-college-50th-anniversary-collection,26
bayport-blue-point-historic-postcards,25
chautauqua-cattaraugus-library-system-olean-public-library,25
culinary-institute-america-archives-and-special-collections,25
field_alpha_sort/M,25
field_alpha_sort/O,25
grumman,25
library-association-rockland-county-new-city-library,25
rochester-homeopathic-genesee-hospital-collection,25
staatsburg-library,25
african-repository-and-colonial-journal,24
field_alpha_sort/L,24
friends-historic-kingston,24
goshen-public-library-historical-society,24
hartwick-seminary-records-hartwick-college,24
hudson-river-day-line-collection,24
irvington-public-library,24
jefferson-community-college-jefferson-community-college-library,24
merrick-library,24
nyh_topic/transportation,24
pan-american-exposition-collection,24
spaceflight,24
st-josephs-college-callahan-library,24
1935-federal-improvement-aerial-survey,23
clinton-liberal-institute,23
digital-long-island,23
early-canastota-collection,23
ellis-hospital-collection,23
ernie-simon-collection,23
geneva-public-library,23
historic-postcards-lynbrook-ny,23
hudson-area-library,23
long-island-airfields,23
long-island-manufacturers,23
manlius-library,23
newburgh-heritage-collection,23
nioga-library-system-lockport-public-library,23
north-country-community-college-north-country-community-college-libraries,23
nyh_topic/people,23
oceanside-library,23
rochester-ny-city-directories,23
rondout-reservoir-collection,23
staatsburg-library-image-collection,23
wantagh-preservation-society,23
william-thompson-howell-photographs,23
albion-winegar-tourgee-collection,22
chautauqua-cattaraugus-library-system-james-prendergast-library,22
erieville-nelson-heritage-society,22
family-bible-records-schoharie-county-ny,22
field_alpha_sort/C?page=1,22
niagara-county-historical-society,22
african-american-presence-hudson-valley,21
albany-county-historical-association-ten-broeck-mansion,21
albany-public-library,21
alumni-news-and-postscript,21
bayport-bluepoint-public-library,21
bethlehem-public-library,21
bethpage-historical-collection,21
half-hollow-hills-community-library,21
huntington-historical-maps,21
joseph-scala-collection,21
lily-dale-postcards,21
massapequa-library-history-collection,21
moffat-library-washingtonville,21
moss-lake-camp-photograph-collection,21
nazareth-college,21
octagon-houses-collection,21
siena-college,21
st-lawrence-university-special-collections-and-vance-university-archives,21
ulster-county-historical-society,21
waterbury-mill,21
william-k-sanford-town-library,21
albert-wisner-public-library,20
alfred-university-herrick-library,20
calderone-theatre-collection,20
crandall-public-library,20
erieville-nelson-historic-collection,20
field_alpha_sort/R,20
hammond-central-school-yearbooks,20
history-village-lakewood,20
holy-family-high-school-yearbooks,20
huntington-public-library,20
new-york-paris-race,20
1825-pivotal-year-niagara-frontier,19
field_alpha_sort/A,19
field_alpha_sort/E,19
field_alpha_sort/G,19
garden-city-village-archives-collection,19
gold-coast-public-library,19
historical-photographs-lynbrook,19
ken-spooner-collection,19
library-association-rockland-county,19
locust-valley-library,19
nazareth-college-yearbooks-collection,19
nyh_topic/geography-maps,19
oswego-city-directories,19
patterson-historical-society-digital-collection,19
pearl-river-ny-history-collection,19
port-washington-maritime-collection,19
utica-public-library,19
walter-t-shirley-collection,19
big-flats-and-chemung-county-historical-collection,18
collection_type/yearbooks?page=1,18
field_alpha_sort/W,18
industries-old-new-hartford-collection,18
kay-flickinger-dockstader-papers-1910-1995,18
nathan-s-kline-institute-psychiatric-research,18
rockville-centre-historic-school-photographs,18
scarsdale-high-school-yearbooks,18
st-john-fisher-college?loclr=blogser,18
village-voorheesville-historical-records,18
virginia-marshall-martus-collection,18
western-new-york-index,18
1913-watervliet-flood,17
adirondack-map-collection,17
collection_type/photographs,17
cornwall-public-library,17
empire-forester-yearbooks,17
geneva-civil-war-collection,17
ithaca-college-yearbooks,17
long-beach-public-library,17
mabel-addis-oral-history-collection,17
maybrook-railroad-museum,17
montauk-library,17
new-york-central-stations-buffalo-ny-scrapbook,17
niagara-county-community-college-henrietta-g-lewis-library,17
onondaga-community-college-coulter-library,17
oswego-public-library,17
plattekill-historical-society,17
schenectady-new-york-street-scenes,17
solvay-geddes-historical-society,17
spencerport-high-school-yearbooks,17
state-university-new-york-canton-southworth-library,17
vassar-brothers-medical-center-archives,17
albany-ny-school-yearbooks,16
camp-russell-boy-scouts-collection,16
dudley-observatory,16
east-hampton-library,16
field_alpha_sort/B?page=5,16
field_alpha_sort/C?page=4,16
field_alpha_sort/D,16
field_alpha_sort/H?page=1,16
field_alpha_sort/U,16
haviland-heidgerd-historical-collection-images-and-documents,16
minutes-network-religious-communities-nrc-and-predecessor-organizations,16
natural-disasters-schenectady-county,16
oneida-public-library,16
personalities,16
tuxedo-park-photo-albums,16
acha-postcard-collection,15
barge-canal-construction-western-division,15
bellmore-memorial-library,15
childwold-photograph-collection,15
field_alpha_sort/C?page=3,15
field_alpha_sort/H?page=2,15
historic-postcards-east-rockaway-ny,15
historical-maps-ithaca-and-tompkins-county,15
irvington-ny-history-collection,15
newark-area-history-and-views,15
orange-county-atlas-collection,15
remsen-steuben-historical-society,15
robert-e-hager-canal-boat-diagrams,15
rochester-civic-garden-center,15
rochester-genealogical-society,15
st-lawrence-county-historical-association,15
suny-college-environmental-science-and-forestry-moon-library,15
tomkins-cove-ny-history-collection,15
westinghouse-family-papers,15
adirondack-mines-photograph-collection,14
albany-college-pharmacy-and-health-sciences-paul-byrnes-34-archives,14
big-flats-historical-society-and-museum,14
buffalo-museum-science,14
camp-syracuse,14
emily-howland-papers,14
emporium-lumber-company-photograph-collection,14
fayetteville-free-library,14
field_alpha_sort/C?page=11,14
field_alpha_sort/C?page=5,14
field_alpha_sort/C?page=7,14
frank-estabrook-collection,14
hudson-fulton-celebration-1909,14
liberty-high-school-library,14
lincoln-auditorium-central-high-school-programs-collection,14
manhasset-photograph-collection,14
mohawk-valley-boy-scouts-collection,14
nyh_topic/education,14
paul-smiths-college-collection,14
plainview-old-bethpage-public-library,14
plainview-old-bethpage-public-library-local-history-photograph-collection,14
seneca-falls-historical-society,14
suny-college-brockport,14
university-buffalo-libraries-digital-collections,14
vassar-brothers-hospital-school-nursing,14
violetta-white-delafield-mushroom-collection,14
west-monroe-historical-society,14
western-new-york-library-resources-council,14
appellate-division-fourth-department-law-library,13
atlas-hudson-river-valley-new-york-city-troy,13
corning-community-college-yearbooks-collection,13
culinary-institute-america-menu-collection,13
early-records-sacarissa-lodge-independent-order-odd-fellows,13
elizabeth-blackwell,13
field_alpha_sort/B?page=2,13
field_alpha_sort/C?page=12,13
field_alpha_sort/C?page=8,13
field_alpha_sort/S?page=1,13
flood-1972-genesee-river-letchworth-state-park,13
hamilton-burr-duel-collection,13
herbert-pratt-estate-collection,13
historical-photographs-east-rockaway,13
ilion-free-public-library?fbclid=IwAR2YzekHI-dm1q715um7s85gMo2S4ownwjp3CUX4nCOTmrgZKyVN2go9IWo,13
justus-f-mueller-phd-papers,13
manhasset-public-library,13
national-anti-slavery-standard,13
new-york-state-womens-suffrage-exhibition-collection,13
nyh_topic/business-industry,13
nyh_topic/transportation?page=1,13
old-main-suny-oneonta,13
photographs-mary-flagler-cary,13
plattsburgh-barracks,13
sally-ploof-hunter-memorial-library,13
sand-pumpings,13
seneca-ray-stoddard-adirondack-stereoviews,13
tugboats-workhorses-hudson,13
tupper-lake-public-library-photograph-collection,13
american-and-foreign-anti-slavery-reporter,12
chatham-public-library,12
collection_type/yearbooks/field_alpha_sort/C,12
collection_type/yearbooks/field_alpha_sort/M,12
colton-museum-and-historical-society,12
corning-flood-1972,12
east-meadow-public-library,12
elmira-college-women’s-rights-and-suffrage-collection,12
farmingdale-public-library,12
field_alpha_sort/B?page=4,12
field_alpha_sort/F,12
field_alpha_sort/J,12
field_alpha_sort/O?page=1,12
field_alpha_sort/O?page=3,12
floral-fete-collection,12
george-f-johnson-memorial-library,12
heermance-memorial-library-digital-collection,12
henry-page-historical-files,12
hewlett-jones-collection,12
history-waterville-collection,12
j-n-adam-memorial-hospital,12
lake-placid-public-library,12
liberator,12
locust-historical-collection,12
long-island-historic-postcard-collection,12
margaret-hort-trudeau-sanatorium-photograph-collection,12
mmscl-maps,12
oral-histories-hudson-river-commercial-fishermen,12
plattekill-ny-history-collection,12
port-washington-library-history-collection,12
salina-free-library,12
saranac-lake-free-library,12
stony-brook-university-stony-brook-university-libraries,12
suny-adirondack-community-college-library,12
thatcher-glass-manufacturing-company-collection,12
twentieth-century-club-buffalo,12
university-rochester-medical-center-edward-g-miner-library,12
watervliet-public-library,12
wilderstein-historic-site,12
american-humane-association-be-kind-animals-poster-collection,11
buffalo-municipal-housing-authority-report-maps,11
camp-upton-postcards,11
canastota-public-library,11
clarkson-ice-carnival-photographs,11
collection_type/yearbooks?page=2,11
college-saint-rose-neil-hellman-library,11
ellenville-postcard-collection,11
erma-dewitt-photographs,11
field_alpha_sort/1,11
field_alpha_sort/C?page=2,11
field_alpha_sort/M?page=2,11
field_alpha_sort/N?page=1,11
field_alpha_sort/W?page=2,11
field_alpha_sort/Y,11
general-electric-photographs,11
glen-cove-library,11
greenwood-lake-public-library,11
guilderland-historical-society-collection,11
hartwick-college-records-hartwick-college,11
highland-hospital-school-nursing-scrapbooks,11
horse-thieves-collection,11
houghton-college-willard-j-houghton-library,11
hudson-valley-community-college,11
ithaca-college-photographs,11
jewish-buffalo-image-collection,11
joseph-jacques-ramée-architectural-plans-union-college,11
judicial-portrait-collection,11
levittown-public-library,11
liberty-high-school-yearbooks,11
longwood-public-library,11
newburgh-free-library-historic-images-and-documents,11
nioga-library-system,11
nyh_topic/architecture,11
plattsburgh-public-library,11
polish-community-syracuse-ny,11
postcards-syracuse-and-central-new-york,11
rochester-area-cemetery-records,11
rochester-regional-health-rochester-medical-museum-archvies,11
rockville-centre-library-history,11
rudolf-steiner-library-anthroposophical-society-america,11
somers-wright-reis-collection,11
staatsburg-library-ccc-collection,11
state-university-new-yorkoneonta-james-m-milne-library,11
time_period/1940,11
valley-cottage-ny-history-collection,11
westbury-memorial-public-library,11
antique-boat-museum,10
atari-coin-op-division-corporate-records-1969-2002,10
binghamton-university-binghamton-university-libraries,10
bullis-family-collection,10
clarkson-university-history-collection,10
college-saint-rose-archives-yearbook-collection,10
corning-museum-glass-juliette-k-and-leonard-s-rakow-research-library,10
cranberry-lake-yearbooks,10
dyouville-college-architecture-buildings-grounds,10
erie-canal-photograph-collection,10
field_alpha_sort/B?page=1,10
field_alpha_sort/C?page=6,10
field_alpha_sort/P?page=4,10
field_alpha_sort/S?page=10,10
field_alpha_sort/S?page=6,10
field_alpha_sort/W?page=5,10
fulton-montgomery-community-college,10
garden-city-public-library,10
gayer-collection,10
genesee-valley-hunt,10
gloversville-public-library,10
hewlett-collection,10
hobart-and-william-smith-colleges,10
huntington-legal-manuscripts,10
local-history-room-map-collection,10
national-freedman,10
nccc-annual-reports,10
nikolai-nikolaevich-aleksandrov-historical-photograph-collection,10
nyh_topic/ethnic-groups,10
oneida-county-anti-slavery-petitions,10
oriskany-village-museum,10
sally-ploof-hunter-memorial-library-yearbooks,10
scarsdale-public-library,10
state-reservation-niagara,10
suny-new-paltz-college-yearbook-collection,10
wantagh-local-history,10
war-1812-letters-young-mens-association,10
acorn-stove-trade-cards,9
albany-law-school-alumni,9
bard-college-archives-and-special-collections,9
bryant-historic-postcards,9
burt-loescher-collection-rogers-rangers-french-and-indian-war,9
canisius-college-andrew-l-bouwhuis-library,9
center-inquiry-center-inquiry-libraries,9
charles-rand-penney-trail,9
collection_type/yearbooks?page=4,9
crane-school-music,9
dongan-charter-parade-1936-albany-new-york,9
donnan-farm-galway-ny,9
fay-scrapbooks,9
field_alpha_sort/A?page=1,9
field_alpha_sort/B?page=3,9
field_alpha_sort/E?page=2,9
field_alpha_sort/H?page=3,9
field_alpha_sort/H?page=4,9
field_alpha_sort/H?page=7,9
field_alpha_sort/L?page=6,9
field_alpha_sort/N?page=2,9
field_alpha_sort/N?page=5,9
field_alpha_sort/O?page=4,9
field_alpha_sort/P?page=7,9
field_alpha_sort/S?page=11,9
field_alpha_sort/S?page=5,9
field_alpha_sort/U?page=1,9
field_alpha_sort/U?page=2,9
genesee-valley-town-and-country-collection,9
glen-cove-public-library-photograph-collection,9
great-neck-photographs-collection,9
great-steamboat-race-letters,9
historic-huguenot-street-photographs-and-portraits,9
hudson-8000-years-native-american-history-and-culture,9
huntington-war-manuscripts,9
john-scott-postcard-collection,9
marlboro-ny-history-collection,9
mcgraw-historical-society,9
mendon-public-library,9
mining-collection,9
naples-public-library-postcard-collection,9
new-york-central-college,9
newburgh-1916-assessment-photographs,9
nyh_topic/transportation?page=3,9
nyh_topic/transportation?page=4,9
Oneonta-city-directories,9
perry-public-library,9
political-study-club-ithaca-scrapbooks,9
reflections-yearbook-collection,9
rensselaer-county-historical-society-edgar-holloway-collection-watercolors-and-prints,9
rudolf-steiner-library-anthroposophical-society,9
sacandaga-park-ny-postcard-collection?fbclid=IwAR1ehNs62tY5PIoq093amEKgCqDJ2ti9J4NV6vaACFOE1eLZE7HjCkeCMGc,9
skaneateles-historical-society,9
strong-national-museum-play,9
suffern-ny-history-collection,9
syracuse-university-college-law-law-library,9
thousand-islands-museum,9
ticonderoga-historical-society,9
town-henrietta,9
university-rochester-medical-center-highland-hospital,9
us-army-52nd-general-hospital-collection,9
vassar-brothers-medical-center-history,9
yearbooks,9
arthur-b-gregg-collection,8
catskill-public-library-digital-collection,8
clark-rice-photography-collection,8
clarkstown-country-club,8
collection_type/yearbooks?page=7,8
collection_type/yearbooks?page=8,8
collection_type/yearbooks/field_alpha_sort/W,8
community-library-dewitt-jamesville,8
crouse-health-medical-library,8
daredevils-niagara-photos-writing-orrin-e-dunlap-collection,8
dunham-public-library,8
field_alpha_sort/B?page=7,8
field_alpha_sort/B?page=8,8
field_alpha_sort/C?page=9,8
field_alpha_sort/E?page=1,8
field_alpha_sort/E?page=4,8
field_alpha_sort/E?page=6,8
field_alpha_sort/H?page=15,8
field_alpha_sort/H?page=5,8
field_alpha_sort/J?page=1,8
field_alpha_sort/J?page=2,8
field_alpha_sort/L?page=2,8
field_alpha_sort/M?page=1,8
field_alpha_sort/M?page=3,8
field_alpha_sort/M?page=5,8
field_alpha_sort/M?page=8,8
field_alpha_sort/N?page=3,8
field_alpha_sort/N?page=4,8
field_alpha_sort/P?page=1,8
field_alpha_sort/P?page=2,8
field_alpha_sort/P?page=3,8
field_alpha_sort/R?page=1,8
field_alpha_sort/S?page=2,8
field_alpha_sort/S?page=4,8
field_alpha_sort/S?page=7,8
field_alpha_sort/W?page=4,8
field_alpha_sort/W?page=7,8
geneva-historical-society-postcard-collection,8
guilderland-photographs,8
historic-ithaca,8
historic-paintings-james-prendergast-library,8
hudson-river-night-boat-collection,8
huntington-historical-photographs,8
lake-placid-public-library-photograph-archive,8
little-falls-public-library,8
madison-county-atlases,8
major-william-welch-document-collection,8
Manhasset-Public-Library,8
maria-college-anniversary-collection,8
maris-b-pierce-papers,8
martha-blow-wadsworth-photograph-collection,8
niagara-county-community-college-yearbooks,8
nyh_topic/agriculture,8
nyh_topic/daily-life,8
nyh_topic/transportation?page=2,8
pictorial-history-sonnenberg,8
proceedings-rochester-academy-science,8
rambler-newsletter,8
reminiscent-history-north-collins,8
rochester-city-general-hospital-school-nursing-collection,8
rushton-collection,8
saugerties-public-library,8
seversky,8
skaneateles-lake-collection,8
skaneateles-photograph-collection,8
sound-story-project-hudson-valley,8
steinmetz-digital-collection-schenectady,8
time_period/1880,8
verne-morton-photograph-collection,8
village-new-york-mcgraw-history,8
vincent-astor-collection,8
volney-town-history-center,8
wayne-tucker-postcard-collection,8
abby-and-will-csaplar-lake-george-collection,7
aggazette,7
altamont-ny-history-collection,7
buffalo-niagara-heritage-village,7
collection_type/yearbooks?page=3,7
collection_type/yearbooks?page=6,7
collection_type/yearbooks?page=9,7
collection_type/yearbooks/field_alpha_sort/P,7
crawford-collection,7
earlville-cemetery-collection,7
field_alpha_sort/B?page=10,7
field_alpha_sort/B?page=6,7
field_alpha_sort/B?page=9,7
field_alpha_sort/C?page=10,7
field_alpha_sort/C/nyh_topic/education,7
field_alpha_sort/D?page=1,7
field_alpha_sort/F?page=1,7
field_alpha_sort/G?page=3,7
field_alpha_sort/H?page=8,7
field_alpha_sort/L?page=3,7
field_alpha_sort/L?page=5,7
field_alpha_sort/M?page=10,7
field_alpha_sort/M?page=4,7
field_alpha_sort/M?page=9,7
field_alpha_sort/N?page=6,7
field_alpha_sort/O?page=2,7
field_alpha_sort/P?page=5,7
field_alpha_sort/P?page=6,7
field_alpha_sort/S?page=8,7
field_alpha_sort/T,7
field_alpha_sort/W?page=1,7
field_alpha_sort/W?page=6,7
finger-lakes-community-college,7
general-collection,7
geneva-public-library-digital-collection,7
george-w-fenner-world-war-i-photographs-syracuse-ny-1918,7
glen-letters-collection,7
glens-falls-feeder-canal,7
gordon-muck-collection,7
half-hollow-hills-library-history,7
hardy-family-photographs,7
history-center-tompkins-county,7
jennie-curtis-cannon-collection,7
john-mcconihe-collection,7
keene-valley-library,7
keuka-college-lightner-library,7
lake-placid-north-elba-historical-society,7
long-island-postcard-collection,7
longwood-historic-photographs,7
lumber-camp-mission-slide-collection,7
macedon-public-library,7
maria-college-digital-collection,7
maria-college-promarian-newsletter,7
murder-pamphlet-collection-full-text,7
nanuet-ny-history-collection,7
new-paltz-town-records,7
new-york-chiropractic-college-new-york-chiropractic-college-museum,7
nioga-library-system-lewiston-public-library,7
nyh_topic/education?page=36,7
oceanside-library-history,7
olin-dows-collection,7
photographs-bob-wyer,7
plattsburgh-normal-school,7
potsdam-public-museum,7
reid-gallery-prominent-citizens-rome-new-york,7
rhinebeck-historical-society,7
saranac-inn-photograph-collection,7
scarsdale-photographs-and-slides,7
schuelke-collection,7
scrimshaw-baleen-objects,7
six-nations-territory-collection,7
smithtown-library,7
sports-and-recreation-schenectady-new-york,7
suny-new-paltz-sojourner-truth-library,7
tappan-ny-history-collection,7
time_period/1970,7
truman-e-pomeroy-family-photographs,7
ulster-county-gazette-collection,7
union-college-aaron-j-feingold-judaica-collection,7
utica-zoo-collection,7
voorheesville-public-library,7
ward-manor-collection,7
washingtonville-historic-photograph-collection,7
ws-teator-glass-plate-negative-collection,7
1909-hudson-fulton-celebration-postcards,6
alfred-university-postcard-collection,6
bard-class-photos,6
bard-family-papers,6
bard-student-fire-department,6
bayles-pamphlets,6
buffalo-olmsted-parks-postcards-stereo-views,6
butler-family-papers,6
cairo-public-library-digital-collection,6
canisius-college-buildings-history-and-maintenance,6
capital-district-radio-and-television-broadcasting,6
carl-schmidt-collection-two-dimensional-drawings,6
chatham-school-photographs-1890-1940,6
chester-historical-society,6
chittenango-landing-canal-boat-museum,6
collection_type/yearbooks?page=5,6
county-atlas-ulster-new-york,6
directories-network-religious-communities-nrc-and-predecessor-organizations,6
dowling-college-dowling-college-library,6
dutchess-community-college-francis-u-and-mary-f-ritz-library,6
earlville-free-library,6
early-education-hudson-valley,6
ella-wheeler-glass-plate-negatives-collection,6
emancipator,6
encyclopedia-union-college-history,6
field_alpha_sort/A?page=2,6
field_alpha_sort/C?page=13,6
field_alpha_sort/E?page=3,6
field_alpha_sort/E?page=5,6
field_alpha_sort/F?page=2,6
field_alpha_sort/F?page=3,6
field_alpha_sort/G?page=4,6
field_alpha_sort/H?page=10,6
field_alpha_sort/H?page=11,6
field_alpha_sort/H?page=16,6
field_alpha_sort/H?page=17,6
field_alpha_sort/I,6
field_alpha_sort/I?page=1,6
field_alpha_sort/K?page=1,6
field_alpha_sort/L?page=1,6
field_alpha_sort/M?page=6,6
field_alpha_sort/N?page=8,6
field_alpha_sort/P?page=8,6
field_alpha_sort/R?page=2,6
field_alpha_sort/S?page=3,6
field_alpha_sort/S?page=9,6
field_alpha_sort/T?page=1,6
field_alpha_sort/U?page=3,6
fort-orange-collection,6
franklin-d-roosevelt-library,6
freeport-music-scores-playbills-programs,6
garden-city-general-collection,6
genesee-community-college-history,6
great-neck-library,6
grems-doolittle-library-25th-anniversary,6
harriet-martin-dey-photograph-collection,6
haverstraw-ny-history-collection,6
holland-patent-free-library,6
huntington-deeds,6
jericho-public-library,6
jervis-public-library,6
kingston-ibm-years,6
leo-h-bock-lynbrook-photo-collection,6
library-association-rockland-county-haverstraw-kings-daughters-public-library,6
library-association-rockland-county-valley-cottage-library,6
