"Council","InstitutionID","InstitutionName","CollectionID","CollectionName","Path","Pageviews"
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP016","Sports at St. Stephen's","sports-st-stephens",0
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP001","Arendtiana Collection","arendtiana-collection",0
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP017","Bard College Radio WXBC","bard-college-radio-wxbc",3
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP010","Bard - Tivoli History Collection","bard-tivoli-history-collection",2
"Long Island Library Resources Council","LILRC001","Bayport-Bluepoint Public Library","ZRR137","Historic Bayport: Snapshots in Time","historic-bayport-snapshots-time",0
"Long Island Library Resources Council","LILRC001","Bayport-Bluepoint Public Library","ZRR172","Blue Point Fire Department Collection","blue-point-fire-department-collection",7
"Long Island Library Resources Council","LILRC001","Bayport-Bluepoint Public Library","ZRR002","Bayport-Blue Point Historic Postcards","bayport-blue-point-historic-postcards",24
"Long Island Library Resources Council","LILRC001","Bayport-Bluepoint Public Library","ZRR004","Bayport Yearbooks","bayport-yearbooks",46
"Long Island Library Resources Council","LILRC001","Bayport-Bluepoint Public Library","ZRR177","Bayport Fire Department","bayport-fire-department",0
"Long Island Library Resources Council","LILRC001","Bayport-Bluepoint Public Library","ZRR003","Gene Horton Collection","gene-horton-collection",0
"Long Island Library Resources Council","LILRC002","Bellmore Memorial Library","ZRR005","Bellmore Historical Photographs","bellmore-historical-photographs",55
"Long Island Library Resources Council","LILRC002","Bellmore Memorial Library","ZRR099","Bellmore Postcards","bellmore-postcards",5
"Capital District Library Council","CDLC006","Bethlehem Public Library","XFS002","Tri-Village Area Directories","tri-village-area-directories",0
"Capital District Library Council","CDLC006","Bethlehem Public Library","XFS001","Bethlehem Public Library","bethlehem-public-library",27
"Long Island Library Resources Council","LILRC003","Bethpage Public Library","ZRR006","Bethpage Historical Collection","bethpage-historical-collection",18
"South Central Regional Library Council","SCRLC033","Big Flats Historical Society and Museum","NYBFHS002","Big Flats Historical Society Calendars and Publications","big-flats-historical-society-calendars-and-publications",2
"South Central Regional Library Council","SCRLC033","Big Flats Historical Society and Museum","NYBFHS001","Big Flats and Chemung County Historical Collection","big-flats-and-chemung-county-historical-collection",11
"South Central Regional Library Council","SCLRC002","Binghamton University - Binghamton University Libraries","BNG010","Fred Walster Diary","fred-walster-diary",0
"South Central Regional Library Council","SCLRC002","Binghamton University - Binghamton University Libraries","BNG001","Anna E. Wilcox Collection","anna-e-wilcox-collection",1
"South Central Regional Library Council","SCLRC002","Binghamton University - Binghamton University Libraries","BNG002","Lewis H. Brown Collection","lewis-h-brown-collection",0
"South Central Regional Library Council","SCLRC002","Binghamton University - Binghamton University Libraries","BNG003","Francis M. and Henry H. Stone Collection","francis-m-and-henry-h-stone-collection",0
"South Central Regional Library Council","SCLRC002","Binghamton University - Binghamton University Libraries","BNG007","Ingraham P. Smith Collection","ingraham-p-smith-collection",0
"South Central Regional Library Council","SCLRC002","Binghamton University - Binghamton University Libraries","BNG006","Ten Eyck Fonda Collection","ten-eyck-fonda-collection",0
"South Central Regional Library Council","SCLRC002","Binghamton University - Binghamton University Libraries","BNG005","Joseph H. Treyz Collection of Civil War Patriotic Envelopes","joseph-h-treyz-collection-civil-war-patriotic-envelopes",0
"South Central Regional Library Council","SCLRC002","Binghamton University - Binghamton University Libraries","BNG009","Max Reinhardt Collection","max-reinhardt-collection",0
"South Central Regional Library Council","SCLRC002","Binghamton University - Binghamton University Libraries","BNG004","Patrick Casey Collection","patrick-casey-collection",0
"South Central Regional Library Council","SCLRC002","Binghamton University - Binghamton University Libraries","BNG008","Maurice Leyden Collection","maurice-leyden-collection",0
"Long Island Library Resources Council","LILRC004","Brentwood Public Library","ZRR007","Brentwood Historical Collection","brentwood-historical-collection",3
"Long Island Library Resources Council","LILRC004","Brentwood Public Library","ZRR011","Brentwood Postcards","brentwood-postcards",23
"Long Island Library Resources Council","LILRC004","Brentwood Public Library","ZRR010","Brentwood Historical Photographs","brentwood-historical-photographs",47
"Long Island Library Resources Council","LILRC004","Brentwood Public Library","ZRR009","Brentwood Pen and Ink Drawings","brentwood-pen-and-ink-drawings",1
"Long Island Library Resources Council","LILRC004","Brentwood Public Library","ZRR008","Brentwood Historical Documents","brentwood-historical-documents",0
"South Central Regional Library Council","SCLRC003","Broome County Public Library","YTP001","Bowers Collection","bowers-collection",2
"Long Island Library Resources Council","LILRC005","Bryant Library","ZRR012","Bryant Historic Postcards","bryant-historic-postcards",18
"Western New York Library Resources Council","WNYLRC001","Buffalo and Erie County Public Library","VHB011","Buffalo City Directories","buffalo-city-directories",266
"Western New York Library Resources Council","WNYLRC001","Buffalo and Erie County Public Library","VHB010","New York Central Stations Buffalo, NY Scrapbook","new-york-central-stations-buffalo-ny-scrapbook",0
"Western New York Library Resources Council","WNYLRC001","Buffalo and Erie County Public Library","VHB009","Pan-American Exposition Scrapbooks","pan-american-exposition-scrapbooks",0
"Western New York Library Resources Council","WNYLRC001","Buffalo and Erie County Public Library","VHB007","175th Anniversary of the Buffalo & Erie County Public Library","175th-anniversary-buffalo-erie-county-public-library",23
"Western New York Library Resources Council","WNYLRC001","Buffalo and Erie County Public Library","VHB006","1825, a Pivotal Year on the Niagara Frontier","1825-pivotal-year-niagara-frontier",8
"Western New York Library Resources Council","WNYLRC001","Buffalo and Erie County Public Library","VHB004","The [George Nathan] Newman Collection of Photographs of Vanished and Vanishing Buffalo","george-nathan-newman-collection-photographs-vanished-and-vanishing-buffalo",0
"Western New York Library Resources Council","WNYLRC001","Buffalo and Erie County Public Library","VHB003","Buffalo Photograph Collection: Lantern slides, circa 1890-1910","buffalo-photograph-collection-lantern-slides-circa-1890-1910",36
"Western New York Library Resources Council","WNYLRC001","Buffalo and Erie County Public Library","VHB002","War of 1812 Letters from the Young Men's Association","war-1812-letters-young-mens-association",0
"Western New York Library Resources Council","WNYLRC001","Buffalo and Erie County Public Library","VHB001","New York to Paris Race","new-york-paris-race",0
"Western New York Library Resources Council","WNYLRC049","Buffalo Broadcasters Association","NYBBA002","WKBW-TV Television News Film and Video Archives","wkbw-tv-television-news-film-and-video-archives",0
"Western New York Library Resources Council","WNYLRC049","Buffalo Broadcasters Association","NYBBA001","WIVB-TV Television News Film and Video Archives","wivb-tv-television-news-film-and-video-archives",0
"Western New York Library Resources Council","WNYLRC003","Buffalo History Museum","NYNCH002","Charles Rand Penney Trail","charles-rand-penney-trail",9
"Western New York Library Resources Council","WNYLRC003","Buffalo History Museum","VTP006","Buffalo Municipal Housing Authority Report Maps","buffalo-municipal-housing-authority-report-maps",3
"Western New York Library Resources Council","WNYLRC003","Buffalo History Museum","VTP005","Buffalo Ku Klux Klan Membership List","buffalo-ku-klux-klan-membership-list",224
"Western New York Library Resources Council","WNYLRC003","Buffalo History Museum","VTP004","Buffalo Postcards","buffalo-postcards",35
"Western New York Library Resources Council","WNYLRC003","Buffalo History Museum","VTP003","Buffalo Address Book and Family Directory","buffalo-address-book-and-family-directory",34
"Western New York Library Resources Council","WNYLRC003","Buffalo History Museum","VTP002","War of 1812","war-1812",0
"Western New York Library Resources Council","WNYLRC003","Buffalo History Museum","VTP001","Crystal Beach","crystal-beach",51
"Western New York Library Resources Council","WNYLRC003","Buffalo History Museum","VTP007","Maris B. Pierce papers","maris-b-pierce-papers",0
"Western New York Library Resources Council","WNYLRC005","Buffalo Museum of Science","NYNCH002","Charles Rand Penney Trail","charles-rand-penney-trail",9
"Western New York Library Resources Council","WNYLRC005","Buffalo Museum of Science","BSM001","Bentley Snow Crystal Collection","bentley-snow-crystal-collection",83
"Western New York Library Resources Council","WNYLRC006","Buffalo Niagara Heritage Village","R6A003","League of Women Voters of Amherst","league-women-voters-amherst",0
"Western New York Library Resources Council","WNYLRC006","Buffalo Niagara Heritage Village","R6A002","History of the Town of Amherst, New York, 1818-1965","history-town-amherst-new-york-1818-1965",0
"Western New York Library Resources Council","WNYLRC006","Buffalo Niagara Heritage Village","R6A001","Hardy Family Photographs","hardy-family-photographs",0
"Western New York Library Resources Council","WNYLRC007","Buffalo Olmsted Parks Conservancy","NYBFL001","Buffalo Olmsted Parks Postcards & Stereo Views","buffalo-olmsted-parks-postcards-stereo-views",56
"Western New York Library Resources Council","WNYLRC045","Buffalo Public School Library System","VOQ001","Masten Park High School Chronicle Yearbooks","masten-park-high-school-chronicle-yearbooks",0
"Central New York Library Resources Council","CLRC003","Canal Society of New York State","SRR078","Horne Collection","horne-collection",0
"Central New York Library Resources Council","CLRC003","Canal Society of New York State","SRR077","Barge Canal Construction: Middle Division","barge-canal-construction-middle-division",20
"Central New York Library Resources Council","CLRC003","Canal Society of New York State","SRR076","Soule Collection","soule-collection",0
"Central New York Library Resources Council","CLRC003","Canal Society of New York State","SRR075","Gayer Collection","gayer-collection",0
"Central New York Library Resources Council","CLRC003","Canal Society of New York State","SRR065","Madden Collection","madden-collection",0
"Central New York Library Resources Council","CLRC004","Canastota Public Library","SRR048","Early Canastota Business Collection","early-canastota-business-collection",1
"Central New York Library Resources Council","CLRC004","Canastota Public Library","SRR053","Canastota Schools Collection","canastota-schools-collection",2
"Central New York Library Resources Council","CLRC004","Canastota Public Library","SRR052","Lenox Memorial Hospital Collection","lenox-memorial-hospital-collection",0
"Central New York Library Resources Council","CLRC004","Canastota Public Library","SRR051","Early Canastota Collection","early-canastota-collection",25
"Western New York Library Resources Council","WNYLRC008","Canisius College - Andrew L. Bouwhuis Library","VKC010","Canisius College Memorabilia","canisius-college-memorabilia",0
"Western New York Library Resources Council","WNYLRC008","Canisius College - Andrew L. Bouwhuis Library","VKC008","History of Canisius College","history-canisius-college",0
"Western New York Library Resources Council","WNYLRC008","Canisius College - Andrew L. Bouwhuis Library","VKC007","Canisius College Coaches and Sports","canisius-college-coaches-and-sports",1
"Western New York Library Resources Council","WNYLRC008","Canisius College - Andrew L. Bouwhuis Library","VKC006","Canisius College Church Records","canisius-college-church-records",2
"Western New York Library Resources Council","WNYLRC008","Canisius College - Andrew L. Bouwhuis Library","VKC005","Canisius College Course Catalogs","canisius-college-course-catalogs",4
"Western New York Library Resources Council","WNYLRC008","Canisius College - Andrew L. Bouwhuis Library","VKC004","Canisius College Buildings History and Maintenance","canisius-college-buildings-history-and-maintenance",0
"Western New York Library Resources Council","WNYLRC008","Canisius College - Andrew L. Bouwhuis Library","VKC002","Canisius College Administration","canisius-college-administration",0
"Western New York Library Resources Council","WNYLRC008","Canisius College - Andrew L. Bouwhuis Library","VKC009","Lectures - Special Guests","lectures-special-guests",0
"Western New York Library Resources Council","WNYLRC008","Canisius College - Andrew L. Bouwhuis Library","VKC013","Canisius College Student Activities","canisius-college-student-activities",0
"Western New York Library Resources Council","WNYLRC008","Canisius College - Andrew L. Bouwhuis Library","VKC012","Canisius College Scrapbooks","canisius-college-scrapbooks",0
"Western New York Library Resources Council","WNYLRC008","Canisius College - Andrew L. Bouwhuis Library","VKC011","Canisius College Presidents","canisius-college-presidents",2
"Capital District Library Council","CDLC007","Capital District Library Council","VYD001","Capital District Library Council Albany NY","capital-district-library-council-albany-ny",0
"Southeastern New York Library Resources Council","SENYLRC010","Cary Institute of Ecosystem Studies","VFS002","Aerial Photographs of the Cary Institute of Ecosystem Studies","aerial-photographs-cary-institute-ecosystem-studies",4
"Southeastern New York Library Resources Council","SENYLRC010","Cary Institute of Ecosystem Studies","VFS001","Newsletters of the Cary Institute of Ecosystem Studies","newsletters-cary-institute-ecosystem-studies",0
"Southeastern New York Library Resources Council","SENYLRC010","Cary Institute of Ecosystem Studies","VFS003","Photographs of Mary Flagler Cary","photographs-mary-flagler-cary",0
"Central New York Library Resources Council","CLRC006","Cazenovia College - Witherill Library","SRR028","Jessie Bonnie Monroe Fashion Illustration Collection","jessie-bonnie-monroe-fashion-illustration-collection",0
"Western New York Library Resources Council","WNYLRC010","Center for Inquiry - Center for Inquiry Libraries","ZCQ003","Nickell Snake Oil Collection","nickell-snake-oil-collection",0
"Western New York Library Resources Council","WNYLRC010","Center for Inquiry - Center for Inquiry Libraries","ZCQ002","Lily Dale Postcards","lily-dale-postcards",0
"Western New York Library Resources Council","WNYLRC010","Center for Inquiry - Center for Inquiry Libraries","ZCQ001","Nickell Collection of Dr. R.V. Pierce Medical Artifacts","nickell-collection-dr-rv-pierce-medical-artifacts",0
"Central New York Library Resources Council","CLRC005","Central New York Library Resources Council","SRR042","CLRC Archives","clrc-archives",1
"Southeastern New York Library Resources Council","SENYLRC036","Chatham Public Library","VHU001","Chatham Public Library Yearbook Collection","chatham-public-library-yearbook-collection",2
"Southeastern New York Library Resources Council","SENYLRC036","Chatham Public Library","VHU002","Chatham High School Commencement Programs","chatham-high-school-commencement-programs",3
"Southeastern New York Library Resources Council","SENYLRC036","Chatham Public Library","VHU003","Chatham School Photographs, 1890-1940","chatham-school-photographs-1890-1940",4
"Western New York Library Resources Council","WNYLRC019","Chautauqua County Historical Society","NYCCH001","Albion Winegar Tourgee Collection","albion-winegar-tourgee-collection",16
"Western New York Library Resources Council","WNYLRC015","Chautauqua-Cattaraugus Library System - James Prendergast Library","VXU003","Historic Paintings at James Prendergast Library","historic-paintings-james-prendergast-library",0
"Western New York Library Resources Council","WNYLRC015","Chautauqua-Cattaraugus Library System - James Prendergast Library","VXU001","Jamestown and Olean, NY, City Directories from 1875-1916","jamestown-and-olean-ny-city-directories-1875-1916",0
"Western New York Library Resources Council","WNYLRC015","Chautauqua-Cattaraugus Library System - James Prendergast Library","VXU005","Lake View Cemetery Records","lake-view-cemetery-records",0
"Western New York Library Resources Council","WNYLRC016","Chautauqua-Cattaraugus Library System - Lakewood Memorial Library","VXU004","History of the Village of Lakewood","history-village-lakewood",0
"Western New York Library Resources Council","WNYLRC017","Chautauqua-Cattaraugus Library System - Olean Public Library","VXU006","Sand Pumpings","sand-pumpings",0
"Western New York Library Resources Council","WNYLRC017","Chautauqua-Cattaraugus Library System - Olean Public Library","VXU001","Jamestown and Olean, NY, City Directories from 1875-1916","jamestown-and-olean-ny-city-directories-1875-1916",0
"South Central Regional Library Council","SCRLC034","Chemung County Historical Society","YTZ002","Floods of Chemung County","floods-chemung-county",0
"South Central Regional Library Council","SCRLC034","Chemung County Historical Society","YTZ003","High School Yearbooks from Chemung County","high-school-yearbooks-chemung-county",0
"South Central Regional Library Council","SCRLC034","Chemung County Historical Society","VX7001","Overseas Relief Papers","overseas-relief-papers",0
"South Central Regional Library Council","SCRLC034","Chemung County Historical Society","VX7002","Black Oral History Collection of Chemung County","black-oral-history-collection-chemung-county",0
"South Central Regional Library Council","SCRLC034","Chemung County Historical Society","YKM003","Thatcher Glass Manufacturing Company Collection","thatcher-glass-manufacturing-company-collection",0
"Southeastern New York Library Resources Council","SENYLRC035","Chester Historical Society","NYCHT001","Chester Historical Society Collection","chester-historical-society-collection",1
"Central New York Library Resources Council","CLRC007","Chittenango Landing Canal Boat Museum","SRR088","The Great Steamboat Race Letters","great-steamboat-race-letters",0
"Central New York Library Resources Council","CLRC007","Chittenango Landing Canal Boat Museum","SRR082","Chittenango Landing Historic Photograph Collection","chittenango-landing-historic-photograph-collection",12
"Central New York Library Resources Council","CLRC007","Chittenango Landing Canal Boat Museum","SRR081","Robert E. Hager Canal Boat Diagrams","robert-e-hager-canal-boat-diagrams",0
"Northern New York Library Network","NNYLN004","Clarkson University - Harriet Call Burnap Memorial Library","CLARKSON008","Clarkson Miscellaneous Collection","clarkson-miscellaneous-collection",1
"Northern New York Library Network","NNYLN004","Clarkson University - Harriet Call Burnap Memorial Library","CLARKSON005","Clarkson University History Collection","clarkson-university-history-collection",7
"Northern New York Library Network","NNYLN004","Clarkson University - Harriet Call Burnap Memorial Library","CLARKSON006","Clarkson University Postcards Collection","clarkson-university-postcards-collection",1
"Northern New York Library Network","NNYLN004","Clarkson University - Harriet Call Burnap Memorial Library","CLARKSON007","Clarksonian Yearbooks Collection","clarksonian-yearbooks-collection",215
"Northern New York Library Network","NNYLN004","Clarkson University - Harriet Call Burnap Memorial Library","CLARKSON001","Clarkson Family History Collection","clarkson-family-history-collection",7
"Northern New York Library Network","NNYLN004","Clarkson University - Harriet Call Burnap Memorial Library","CLARKSON002","Clarkson Family Photographs Collection","clarkson-family-photographs-collection",1
"Northern New York Library Network","NNYLN004","Clarkson University - Harriet Call Burnap Memorial Library","CLARKSON003","Clarkson Ice Carnival Photographs","clarkson-ice-carnival-photographs",1
"Northern New York Library Network","NNYLN004","Clarkson University - Harriet Call Burnap Memorial Library","CLARKSON004","Clarkson Ice Carnival Programs","clarkson-ice-carnival-programs",2
"Capital District Library Council","CDLC008","Clifton Park-Halfmoon Public Library","XID002","Pre-Shenendehowa Schools Collection","pre-shenendehowa-schools-collection",0
"Capital District Library Council","CDLC008","Clifton Park-Halfmoon Public Library","XID001","Town of Clifton Park History Collection","town-clifton-park-history-collection",0
"Capital District Library Council","CDLC008","Clifton Park-Halfmoon Public Library","XID003","Town of Halfmoon  Historian's Collection","town-halfmoon-historians-collection",0
"Northern New York Library Network","NNYLN005","Clinton Community College - Douglas Library","YLC002","Praecursor Yearbooks","praecursor-yearbooks",0
"Northern New York Library Network","NNYLN005","Clinton Community College - Douglas Library","YLC001","Postcards","postcards",0
"Central New York Library Resources Council","CLRC008","CNY Chapter National Railway Historical Society","SRR115","Phillip Winchester Collection","phillip-winchester-collection",0
"Central New York Library Resources Council","CLRC008","CNY Chapter National Railway Historical Society","SRR135","Chapter Activities of Central New York Chapter, NRHS","chapter-activities-central-new-york-chapter-nrhs",2
